Year,Region/City,Number of Bedrooms,Number of Bathrooms,Square Footage,Listing Price,Sale Price,Days on Market,Property Age (Years),Property Type,Number of Garages
2018,Kitchener,3,3,1185,1008726,942059,52,93,Condo,3
2022,Kitchener,5,2,1579,697292,634508,17,49,Detached,0
2011,Ottawa,1,1,1884,686059,624782,65,16,Detached,3
2013,London,5,1,1174,929505,841760,28,75,Condo,2
2015,Guelph,2,4,1068,795858,726495,47,44,Townhouse,2
2011,Kitchener,5,4,1362,686781,628280,37,22,Detached,2
2017,Hamilton,3,4,1763,861056,847796,82,94,Detached,1
2017,Hamilton,1,1,952,801273,716549,28,8,Condo,3
2010,Guelph,3,1,1222,550141,462141,26,18,Detached,2
2021,Hamilton,3,4,1609,778234,738107,56,80,Condo,3
2012,Toronto,1,3,1936,836587,810867,10,84,Detached,0
2019,Kitchener,3,3,1616,693243,620606,23,72,Townhouse,2
2018,Guelph,4,3,1649,985150,989760,80,94,Townhouse,1
2014,London,4,3,1901,896665,834715,33,38,Townhouse,2
2015,Kitchener,4,2,2138,744585,649682,68,29,Townhouse,1
2013,Guelph,5,4,2094,826729,788164,18,77,Condo,0
2019,Ottawa,3,1,683,724709,667444,85,81,Condo,3
2011,London,1,4,1539,755139,702109,34,81,Condo,0
2020,Ottawa,1,3,1865,762497,681198,75,73,Condo,0
2017,Kitchener,5,1,2179,445972,392789,25,2,Condo,0
2020,London,1,2,1756,805480,765762,69,59,Townhouse,0
2022,Hamilton,4,4,1156,863668,859245,8,42,Detached,0
2015,Guelph,3,1,1209,1292298,1239471,50,88,Detached,3
2014,Kitchener,1,1,1220,887976,840071,12,21,Townhouse,1
2018,Toronto,1,3,1623,669416,680452,22,2,Townhouse,0
2010,London,2,3,1308,471837,452037,64,5,Condo,2
2014,London,2,4,282,588739,556669,49,17,Condo,1
2015,Windsor,2,2,1028,700141,668064,76,24,Detached,1
2014,Kitchener,3,1,1322,703708,654555,35,8,Detached,2
2015,Kitchener,4,3,955,752514,705808,32,30,Condo,2
2015,Ottawa,4,4,1014,719538,671421,68,50,Condo,2
2016,Windsor,4,3,2320,753819,636032,41,22,Townhouse,2
2013,Hamilton,3,4,1496,715538,678781,71,59,Condo,2
2023,Ottawa,3,3,1345,803683,779765,83,24,Townhouse,0
2020,Windsor,2,2,1766,619320,522311,72,26,Condo,1
2023,Ottawa,1,1,1958,548245,454327,39,61,Detached,2
2023,Hamilton,5,3,2396,752387,734854,40,8,Townhouse,2
2023,Windsor,5,1,2182,886792,800390,61,12,Detached,3
2017,Windsor,1,4,1673,576192,581592,74,14,Townhouse,1
2016,Toronto,2,2,886,685080,548969,8,30,Townhouse,1
2018,Ottawa,1,1,1099,770770,667285,53,55,Detached,0
2016,Ottawa,1,3,1339,765941,699983,43,99,Detached,1
2012,London,5,1,1702,950569,874812,22,61,Condo,2
2012,Hamilton,2,1,1537,987965,924654,64,62,Townhouse,3
2017,Guelph,3,4,910,844403,814174,14,31,Condo,1
2014,Toronto,5,2,839,1041883,956014,27,92,Townhouse,3
2013,Windsor,3,2,1603,726195,635511,72,27,Condo,2
2017,Windsor,2,1,1548,968039,939857,63,1,Detached,3
2015,Windsor,1,1,1416,677397,628358,87,41,Detached,1
2011,Toronto,4,4,1693,859202,846198,11,14,Condo,1
2013,Windsor,4,1,1998,928824,880254,17,74,Detached,0
2021,Windsor,2,4,1624,811229,769258,7,50,Condo,2
2020,Hamilton,4,2,1123,607001,519427,44,42,Townhouse,0
2013,Kitchener,3,2,2266,465488,367463,15,71,Townhouse,0
2015,Kitchener,4,4,1429,911382,893292,84,40,Detached,2
2015,London,2,1,1519,745395,672321,88,14,Detached,1
2010,London,2,2,1238,759418,683029,55,91,Detached,3
2023,Windsor,3,3,1070,1100021,1102457,27,11,Townhouse,0
2017,Hamilton,4,4,1102,610754,531804,36,63,Condo,1
2015,Windsor,4,2,1014,948070,942414,45,49,Detached,1
2012,London,1,2,296,652457,617794,46,37,Condo,0
2023,Toronto,5,2,1437,764538,741569,42,10,Detached,0
2018,Toronto,2,3,1940,582819,579953,71,54,Detached,0
2011,Guelph,1,3,1106,651061,567948,76,7,Detached,1
2020,Kitchener,2,3,2523,882648,860915,82,81,Condo,2
2017,Hamilton,1,1,2054,1058799,1020688,76,12,Condo,2
2019,Ottawa,5,4,1492,884700,834905,79,55,Condo,0
2012,Kitchener,1,1,1055,861167,788878,46,36,Townhouse,3
2022,Ottawa,2,3,861,1309814,1288874,47,7,Townhouse,1
2021,Guelph,4,4,1454,912113,847489,37,24,Townhouse,3
2014,Guelph,2,1,1527,613275,570205,83,34,Condo,0
2015,Windsor,3,1,1418,463344,443587,41,65,Townhouse,1
2019,London,3,1,1927,875829,795214,82,29,Detached,2
2015,Guelph,3,3,2098,518695,406342,61,26,Condo,2
2013,Guelph,3,2,1689,599708,543590,68,74,Detached,3
2012,Ottawa,5,4,1710,860660,828930,68,65,Detached,0
2013,London,4,3,1373,1007984,980056,64,45,Condo,3
2010,Guelph,4,4,1498,742861,668669,56,17,Detached,0
2013,Kitchener,2,3,1664,558772,508367,76,36,Condo,2
2010,Guelph,1,1,1373,770709,752579,72,73,Townhouse,1
2021,London,2,1,1764,745582,746377,86,63,Condo,2
2010,Windsor,2,2,1077,823538,762102,31,23,Condo,3
2019,Hamilton,2,2,1207,559500,547460,63,93,Detached,1
2023,London,2,4,1081,632570,594648,23,66,Detached,0
2015,Ottawa,4,2,1232,1004711,905850,7,82,Detached,2
2014,Hamilton,1,2,1385,952250,927185,77,92,Detached,0
2023,Kitchener,2,4,1911,1032817,951207,43,42,Detached,2
2020,Toronto,4,3,1516,429901,410538,70,71,Detached,0
2013,London,2,2,986,622773,546533,77,75,Detached,2
2022,Windsor,3,3,939,998181,930927,60,71,Detached,2
2020,Ottawa,2,1,1333,918466,853821,10,43,Detached,0
2012,Kitchener,2,2,1833,881461,849721,32,88,Condo,2
2010,Hamilton,5,1,2061,727522,658416,52,55,Detached,2
2015,Kitchener,3,1,863,675965,614728,52,56,Detached,2
2011,London,1,3,1648,806446,699808,71,79,Condo,3
2017,Guelph,2,4,1339,710297,678776,58,31,Townhouse,2
2019,Windsor,1,2,1370,905622,817043,20,83,Townhouse,0
2014,London,3,3,1074,807426,784445,39,56,Condo,0
2016,Toronto,2,4,1411,605768,562932,79,74,Townhouse,3
2019,London,5,1,1056,926988,896144,34,48,Detached,2
2021,Hamilton,4,2,1393,1050855,1015719,52,52,Detached,3
2011,Hamilton,5,1,1959,1064206,1018928,73,72,Detached,3
2022,London,5,1,1752,934684,841432,12,1,Townhouse,2
2017,Hamilton,4,2,2265,937415,873716,55,2,Condo,0
2011,Guelph,4,4,1710,567757,480735,14,93,Detached,2
2013,Kitchener,4,4,1569,665732,615295,32,42,Condo,3
2010,London,2,2,1721,766330,677848,40,74,Condo,1
2014,Windsor,1,2,1189,918514,861704,64,9,Detached,3
2018,Guelph,1,3,665,679931,653609,14,31,Condo,0
2010,Kitchener,4,3,1818,738607,656927,18,96,Condo,2
2018,Windsor,5,1,781,911922,817405,67,2,Detached,1
2020,Windsor,3,2,1948,827421,758272,51,24,Condo,3
2017,Windsor,4,4,1800,866773,791847,73,43,Townhouse,3
2015,Kitchener,5,1,1160,644392,556018,60,70,Detached,3
2016,Guelph,5,1,1325,735906,694008,10,72,Detached,2
2012,Windsor,2,1,1495,706092,677631,23,89,Detached,2
2023,Windsor,2,1,1131,799812,738932,56,43,Detached,3
2010,Ottawa,1,4,1716,713374,611581,66,51,Detached,2
2014,London,1,1,1751,686234,627199,53,89,Detached,1
2023,Kitchener,3,2,922,825005,756114,82,46,Detached,1
2021,Kitchener,3,3,1170,1219345,1167104,15,75,Townhouse,0
2021,Hamilton,3,4,1485,916713,857876,50,99,Condo,2
2011,Kitchener,3,2,1956,443957,409798,73,1,Townhouse,2
2023,Guelph,5,2,1760,870259,803811,49,87,Condo,3
2014,Kitchener,5,2,567,697019,620686,62,67,Detached,1
2017,Ottawa,1,3,1383,611785,606861,36,1,Townhouse,2
2020,London,2,3,1689,940770,935805,14,63,Detached,2
2018,London,2,3,1180,815436,818051,17,76,Condo,2
2011,Kitchener,4,2,1149,1297274,1203011,17,62,Townhouse,3
2021,Windsor,5,3,1201,777145,754889,40,61,Townhouse,1
2012,Toronto,3,1,1376,754754,694203,77,40,Condo,2
2012,Toronto,3,3,1108,1039429,935879,23,95,Condo,2
2010,Windsor,4,4,1763,804394,744419,11,29,Townhouse,3
2017,Windsor,2,2,1155,588551,523123,19,35,Townhouse,0
2015,Windsor,3,2,1085,623847,599141,85,92,Townhouse,3
2021,Guelph,2,1,1340,734312,674316,50,85,Condo,2
2022,Toronto,4,3,2091,931527,911380,82,11,Detached,1
2017,Windsor,2,3,1710,1054425,1061524,52,90,Townhouse,1
2020,Guelph,2,4,1735,960389,908819,70,11,Condo,2
2018,Hamilton,2,1,1614,913606,853982,82,63,Townhouse,0
2014,Guelph,3,4,1121,1019375,985227,8,69,Condo,3
2023,Toronto,1,4,1243,924234,896633,7,56,Townhouse,2
2021,Kitchener,5,2,1176,619354,575757,7,7,Condo,2
2023,Hamilton,2,2,1936,755848,727651,79,51,Condo,2
2012,Toronto,2,3,1618,696950,624684,73,95,Townhouse,3
2014,Guelph,2,3,833,1052455,989050,32,39,Condo,1
2014,Ottawa,1,4,2081,609078,510237,27,42,Condo,3
2014,London,4,3,1367,612964,573630,34,72,Condo,2
2012,Toronto,3,4,1761,833985,781891,66,53,Condo,1
2020,Windsor,1,3,1920,1185804,1130597,55,91,Condo,0
2023,Guelph,2,3,475,946978,908168,45,21,Condo,2
2019,Windsor,1,2,1681,1008335,1017839,68,30,Condo,1
2023,Windsor,1,2,1398,578639,515323,47,78,Condo,1
2013,Windsor,1,2,531,933760,813716,80,1,Townhouse,1
2018,Windsor,4,2,1046,577762,497782,62,24,Condo,2
2022,Windsor,5,1,1318,946187,837442,63,6,Detached,0
2019,Hamilton,3,2,1838,485831,408928,44,6,Townhouse,1
2018,Toronto,4,1,1429,732175,686735,50,69,Townhouse,2
2011,Toronto,4,2,1559,389376,321329,66,62,Detached,1
2017,London,5,3,1357,623057,540961,53,35,Condo,3
2017,Guelph,4,4,1935,515078,513098,83,79,Detached,1
2016,Ottawa,1,3,1708,930236,866892,27,35,Detached,2
2017,Hamilton,1,3,1565,818877,771830,48,48,Detached,1
2023,Guelph,2,1,1042,706493,612170,48,72,Townhouse,1
2012,Hamilton,4,2,1547,823424,762255,23,43,Condo,3
2022,Toronto,2,4,2612,633812,657621,48,35,Townhouse,3
2015,Windsor,3,4,1818,864372,801176,15,5,Condo,2
2010,London,1,2,1204,784455,796310,64,31,Detached,0
2016,London,3,1,2240,1256178,1167955,42,31,Townhouse,0
2010,Kitchener,5,1,1186,1126702,1099739,7,8,Condo,0
2018,Ottawa,1,1,1785,988111,972034,20,6,Condo,0
2010,London,3,4,1481,858464,831596,13,87,Detached,2
2010,Windsor,5,1,1572,884071,860882,45,53,Townhouse,2
2016,Toronto,3,1,1587,1048177,1002849,42,80,Townhouse,3
2011,Ottawa,5,4,1400,857628,833444,73,44,Townhouse,3
2023,Guelph,5,4,1344,869933,828958,69,49,Townhouse,0
2014,Windsor,1,3,973,684704,680973,39,8,Townhouse,3
2017,Windsor,2,4,1049,662536,620086,39,64,Townhouse,2
2017,London,5,2,1633,778553,685876,80,4,Townhouse,0
2012,Ottawa,5,4,1226,277051,240509,89,32,Detached,1
2016,Toronto,1,4,1135,794186,725462,52,53,Condo,1
2012,Kitchener,2,1,2630,751568,739257,12,67,Detached,1
2015,Hamilton,4,3,2495,975805,908415,31,63,Condo,3
2015,Hamilton,4,1,1732,1044927,960800,13,80,Condo,0
2012,Toronto,2,3,1788,1314286,1221530,34,60,Condo,1
2016,Toronto,3,1,1175,915908,859886,18,98,Townhouse,0
2012,Hamilton,1,2,1025,830405,760262,27,77,Townhouse,2
2017,Kitchener,2,1,1363,686770,675186,33,33,Condo,1
2019,Ottawa,4,1,1500,590211,551714,30,22,Condo,1
2013,Hamilton,5,2,1785,982841,956850,19,31,Townhouse,1
2022,Toronto,4,2,767,794509,734656,77,24,Townhouse,2
2010,London,5,4,2358,884983,850830,85,3,Condo,0
2013,Guelph,1,1,1599,803713,733110,77,33,Condo,1
2023,Kitchener,5,2,879,808933,684876,71,94,Detached,1
2016,Windsor,2,2,1562,843843,775196,20,26,Townhouse,0
2020,Kitchener,5,4,1139,884416,792067,17,98,Townhouse,3
2013,London,3,3,1110,988144,973681,85,51,Condo,3
2022,London,2,2,1075,553538,506088,28,86,Detached,1
2015,Windsor,1,2,1397,917216,860711,66,30,Townhouse,1
2018,Toronto,2,1,2341,542372,490421,61,35,Detached,3
2010,Hamilton,3,4,1537,940284,834985,40,25,Detached,3
2022,Ottawa,1,1,1777,864045,836362,64,28,Townhouse,1
2014,Kitchener,4,3,1875,784678,724985,77,97,Condo,0
2020,Windsor,3,4,1442,792496,815350,26,87,Detached,3
2016,Kitchener,1,1,1035,827383,764643,88,26,Condo,1
2010,London,5,2,860,1018196,953019,7,73,Townhouse,2
2023,Hamilton,2,2,1345,1000490,952058,40,8,Detached,0
2013,Kitchener,1,4,1957,977079,915220,86,97,Condo,1
2015,Ottawa,2,2,1874,530719,497654,40,15,Detached,2
2011,London,5,1,1602,915241,901887,14,49,Detached,3
2019,Ottawa,1,4,1655,320447,300104,25,8,Detached,2
2014,Hamilton,4,2,1445,373860,349437,53,55,Townhouse,2
2020,Kitchener,3,2,1307,1024787,1013558,13,85,Condo,2
2019,Guelph,1,3,1204,510614,500569,83,58,Detached,3
2010,Kitchener,5,3,911,764175,739077,56,3,Condo,2
2015,Hamilton,1,4,2218,1080868,1041552,52,9,Townhouse,3
2015,Kitchener,2,3,1568,916753,862797,64,14,Detached,1
2022,Windsor,1,1,1323,874000,860718,54,91,Detached,2
2013,Kitchener,4,2,2228,789115,767131,43,20,Detached,0
2022,Toronto,1,2,2304,825178,793606,20,4,Condo,1
2017,Kitchener,3,2,2598,674963,611857,32,24,Condo,3
2013,Kitchener,1,4,1400,704083,689937,10,91,Detached,1
2017,Ottawa,2,4,1542,817292,782810,65,76,Condo,2
2022,Guelph,1,3,1760,846481,767309,10,28,Condo,3
2017,Ottawa,4,2,2164,768431,742270,70,99,Detached,2
2014,Ottawa,5,2,1524,352733,340152,44,88,Detached,1
2022,London,1,2,1106,1112974,1065591,75,31,Detached,0
2013,Toronto,1,2,1198,987457,962394,66,67,Townhouse,1
2021,Ottawa,3,2,1970,759190,792048,32,94,Detached,1
2022,Windsor,4,1,1748,993685,937714,84,64,Detached,2
2011,Hamilton,5,2,1430,728294,652187,51,91,Detached,0
2020,Windsor,2,1,1404,863507,814178,13,17,Detached,2
2012,Hamilton,1,2,1430,415357,334062,56,6,Detached,2
2012,Kitchener,5,4,1995,851346,782026,19,82,Detached,2
2013,London,2,4,1184,743732,719379,38,60,Detached,3
2013,Toronto,4,1,1014,843611,732126,24,99,Detached,2
2019,Windsor,4,2,2226,1141977,1082343,82,91,Townhouse,0
2020,Toronto,5,4,1510,796382,733548,64,81,Condo,2
2020,Windsor,2,4,1468,708497,688302,62,11,Townhouse,2
2014,Kitchener,4,2,1768,710718,707094,79,38,Townhouse,0
2013,Hamilton,5,2,1104,516771,499273,71,34,Detached,1
2020,Guelph,4,4,1800,880849,803246,6,47,Detached,2
2023,London,4,2,1346,906886,805572,54,32,Detached,1
2019,Windsor,4,3,1950,813083,754421,18,57,Detached,2
2017,Windsor,3,2,886,983981,931206,60,46,Condo,2
2015,Kitchener,2,4,1680,985881,906864,73,35,Condo,3
2015,London,5,4,1407,813966,722531,48,92,Townhouse,0
2017,Hamilton,5,1,1218,917099,910661,50,22,Condo,0
2016,Hamilton,2,3,1808,1234536,1135698,10,16,Townhouse,1
2019,Windsor,2,4,1440,635589,597004,12,76,Detached,3
2023,Guelph,2,3,1686,954632,872113,43,5,Townhouse,2
2020,Guelph,2,2,2006,817364,799393,48,90,Townhouse,3
2021,Toronto,1,4,1816,1009149,928144,31,26,Condo,0
2019,London,5,1,1067,641302,634313,20,77,Townhouse,2
2022,London,1,4,1283,840055,756416,43,24,Detached,2
2017,Hamilton,4,1,1683,664079,594779,5,67,Detached,1
2023,Toronto,4,3,1817,446602,443764,55,32,Detached,3
2011,Kitchener,5,1,1343,1080877,992615,67,23,Detached,2
2018,London,4,2,1579,713107,692387,37,49,Condo,0
2010,Toronto,2,2,1576,631503,547216,54,62,Townhouse,1
2017,Toronto,1,2,1632,684620,630286,58,77,Townhouse,0
2021,Windsor,2,4,1028,1164887,1152276,31,79,Townhouse,1
2020,Hamilton,4,2,933,1062105,1042502,85,66,Townhouse,3
2021,Toronto,1,2,596,756360,589277,83,11,Detached,1
2021,Guelph,2,4,1542,972274,853054,23,80,Condo,3
2013,Guelph,5,3,954,584922,541243,32,18,Townhouse,3
2013,Ottawa,2,2,2354,904708,841969,27,98,Townhouse,2
2014,Hamilton,4,2,1761,713887,627796,68,10,Condo,3
2017,Windsor,1,4,1027,887219,875976,43,77,Townhouse,1
2014,Kitchener,5,3,1954,525244,454546,53,96,Condo,1
2017,Ottawa,1,3,1954,680972,601357,63,60,Townhouse,2
2019,Guelph,5,3,1987,836381,775526,24,8,Condo,1
2010,Windsor,1,4,1176,834266,742538,65,71,Townhouse,3
2021,Ottawa,4,1,1786,507436,452857,13,48,Detached,1
2019,Hamilton,5,1,1994,605630,522472,27,81,Townhouse,0
2018,Windsor,3,2,2128,884683,827594,11,41,Detached,0
2015,Hamilton,1,2,890,861203,857214,35,91,Condo,2
2012,Toronto,1,2,1412,931096,852928,64,8,Detached,3
2022,London,2,1,1162,838040,748982,65,93,Townhouse,1
2023,Toronto,5,4,2245,589361,543898,79,37,Detached,2
2017,Hamilton,3,2,1696,729231,719404,85,91,Detached,2
2018,Windsor,4,4,1856,906204,830162,30,37,Townhouse,3
2015,Guelph,2,2,1690,599664,540170,86,64,Condo,2
2020,Kitchener,3,4,1650,574794,515884,58,59,Detached,0
2016,Guelph,5,4,1154,739405,683735,35,88,Townhouse,2
2010,Windsor,3,1,1321,854289,774058,45,45,Detached,1
2023,Toronto,1,4,1528,431433,372795,32,16,Condo,0
2014,Kitchener,1,3,1240,751501,715749,10,26,Condo,0
2014,Windsor,2,1,1166,903711,902169,38,31,Condo,0
2019,Hamilton,5,2,1417,943071,906917,13,27,Detached,1
2023,Guelph,5,1,1257,599246,521960,16,90,Townhouse,3
2013,Hamilton,3,3,1519,874387,834430,20,43,Condo,2
2015,Kitchener,2,3,1322,998738,921503,75,15,Townhouse,2
2016,Kitchener,5,4,1226,921341,913769,35,58,Condo,0
2018,Guelph,1,3,1128,717620,697970,37,49,Detached,0
2010,Hamilton,3,3,1502,322959,305051,11,79,Detached,2
2015,Ottawa,4,3,1855,841867,787806,7,87,Condo,1
2016,Hamilton,1,3,1760,1115712,1011952,24,25,Townhouse,0
2012,Kitchener,2,2,889,964812,847483,9,68,Townhouse,0
2017,Hamilton,5,2,1843,950916,869190,71,36,Condo,1
2014,Windsor,1,1,1757,833695,842432,42,80,Detached,3
2018,Toronto,4,4,1854,979356,951919,83,47,Townhouse,0
2014,Ottawa,4,2,1933,860649,901814,60,59,Townhouse,3
2018,London,2,3,1208,450743,395787,27,85,Detached,1
2019,Windsor,1,4,1380,978315,879569,6,52,Townhouse,2
2013,Toronto,3,2,2216,627773,553308,25,40,Condo,2
2018,London,1,1,2192,813446,816410,82,43,Detached,3
2014,Guelph,4,3,1469,947839,856178,18,56,Condo,0
2019,London,2,4,1741,650165,564037,66,81,Detached,2
2018,Windsor,2,2,1776,602908,506615,15,3,Condo,1
2012,Hamilton,3,4,2203,895433,812160,8,71,Condo,0
2013,Windsor,2,2,1638,577292,543077,51,12,Condo,3
2018,London,2,1,1015,761440,767087,24,65,Townhouse,3
2019,Kitchener,2,3,1309,1025674,940547,56,43,Townhouse,3
2020,Toronto,2,1,2753,1125298,1052001,20,70,Condo,3
2015,Toronto,2,3,996,443674,452831,49,46,Condo,1
2011,London,4,3,1520,756258,735187,12,60,Detached,2
2016,Toronto,1,4,2425,1054009,1032096,66,61,Townhouse,3
2011,Kitchener,5,2,1180,720376,648552,88,49,Condo,2
2020,Windsor,2,1,409,958377,908843,25,87,Townhouse,2
2011,Toronto,5,1,482,973459,931370,68,25,Detached,3
2020,London,5,1,1182,677804,640389,34,89,Condo,0
2010,Ottawa,4,4,794,885723,869494,40,3,Townhouse,3
2020,Ottawa,2,4,1914,897892,818931,9,68,Detached,1
2020,Guelph,5,4,1607,982037,953844,89,63,Condo,0
2021,Toronto,2,3,646,474970,390099,42,30,Townhouse,3
2020,Windsor,3,1,861,1058566,1050358,23,97,Detached,2
2012,London,3,3,1996,937371,902131,78,93,Detached,2
2015,Toronto,3,1,1577,573922,464978,31,4,Townhouse,0
2017,Hamilton,5,1,2073,774439,717401,17,78,Condo,1
2018,Kitchener,3,2,1947,967567,932284,13,85,Townhouse,2
2016,Toronto,4,1,1039,584578,553421,21,71,Detached,1
2013,Toronto,4,4,1852,615089,591171,48,21,Detached,2
2015,Ottawa,5,4,1725,803721,740111,49,71,Condo,0
2014,Kitchener,2,4,715,712752,635795,46,1,Townhouse,3
2017,London,1,2,955,850173,792635,55,60,Condo,2
2010,Toronto,2,2,2475,964591,916368,87,34,Condo,0
2010,Ottawa,2,3,1128,854448,786401,62,87,Detached,0
2022,Guelph,2,1,1664,797940,790077,62,3,Townhouse,3
2020,Kitchener,2,1,1423,965508,904166,34,18,Townhouse,3
2015,Ottawa,1,4,1573,779019,715980,9,43,Detached,0
2019,Ottawa,3,4,1450,650852,592832,12,76,Detached,2
2021,Windsor,2,4,1886,1031056,997713,41,78,Townhouse,1
2011,Ottawa,4,4,1875,316267,289519,51,41,Condo,1
2014,Windsor,5,4,1547,812805,801830,49,92,Condo,3
2010,Toronto,5,4,1138,727315,633198,9,24,Townhouse,2
2016,Toronto,4,1,1272,615398,567069,67,24,Condo,0
2010,Guelph,2,2,869,859716,822430,51,3,Condo,1
2013,Hamilton,1,4,1366,891942,857579,29,59,Detached,1
2018,Hamilton,3,1,793,634196,612891,54,58,Condo,2
2010,Hamilton,5,4,1587,520805,486877,49,73,Detached,0
2013,Windsor,3,3,1618,538807,452471,34,24,Condo,3
2015,Kitchener,1,3,1902,1162647,1095196,52,66,Townhouse,1
2015,Kitchener,5,1,1011,1184739,1109885,55,40,Detached,2
2021,Guelph,3,2,1039,805910,727132,59,92,Townhouse,3
2022,Kitchener,1,3,2109,525685,409691,59,71,Detached,2
2017,Hamilton,3,3,952,770929,720098,50,9,Condo,0
2010,Hamilton,2,2,2320,359865,322705,35,60,Townhouse,2
2016,Ottawa,1,3,1130,862935,799820,38,39,Detached,3
2010,Kitchener,3,4,1133,601187,531727,78,33,Townhouse,0
2022,Toronto,2,2,1837,557960,508982,72,34,Townhouse,1
2023,Toronto,2,3,1719,995526,972345,37,62,Condo,3
2016,Ottawa,1,2,2156,769150,713571,60,85,Detached,2
2012,Ottawa,4,4,743,973135,906801,62,61,Condo,1
2020,Ottawa,5,3,1713,1041382,980961,61,93,Townhouse,0
2017,Toronto,1,1,1481,782117,787246,21,27,Detached,3
2012,Hamilton,2,3,1069,798968,796671,15,17,Townhouse,0
2023,Ottawa,2,3,2252,1011654,940151,75,60,Townhouse,0
2023,Guelph,1,4,1594,692244,653414,85,42,Detached,2
2022,Windsor,4,1,1474,1030926,914189,21,47,Townhouse,2
2010,Ottawa,5,1,1681,395351,305117,14,87,Detached,2
2022,Windsor,3,1,808,729038,717082,30,53,Detached,1
2022,London,1,4,1000,837448,756653,10,21,Detached,1
2023,Ottawa,5,4,1366,558999,460982,85,8,Townhouse,2
2017,Toronto,5,4,1626,873907,837266,20,73,Condo,1
2012,Kitchener,2,4,2009,834441,787027,8,97,Townhouse,3
2011,Ottawa,3,4,1146,653561,620003,66,58,Townhouse,0
2010,Kitchener,1,1,1054,645910,629590,88,68,Detached,2
2023,London,2,2,1700,625591,528282,68,63,Condo,0
2012,Guelph,2,4,1445,486694,514393,60,59,Detached,0
2011,Kitchener,4,2,731,1122017,1092255,79,82,Townhouse,0
2011,Windsor,5,3,1132,757922,720596,27,96,Condo,3
2015,Hamilton,1,3,1427,529412,474697,37,30,Detached,3
2021,Ottawa,1,4,1438,775538,762729,35,25,Townhouse,1
2010,London,1,3,1535,847977,757329,11,97,Townhouse,0
2011,London,2,2,979,636385,641461,9,99,Condo,1
2023,Kitchener,4,3,1447,727065,731703,41,56,Townhouse,0
2015,Guelph,3,3,1878,1060797,1009056,5,34,Townhouse,2
2012,Toronto,2,2,344,566437,555046,74,50,Townhouse,0
2013,Ottawa,3,3,1387,683675,627443,49,2,Townhouse,0
2010,London,4,4,835,398916,371119,51,77,Condo,3
2017,Guelph,5,2,1487,1164656,1090435,72,53,Townhouse,2
2022,Hamilton,1,2,898,931631,909468,34,41,Townhouse,1
2016,London,3,1,1553,790086,696750,85,23,Townhouse,2
2016,Guelph,2,1,2150,656385,587503,64,61,Condo,3
2012,Toronto,3,2,1108,646398,619141,28,87,Condo,3
2019,Toronto,5,2,1166,746183,677456,35,31,Detached,0
2019,London,1,1,1312,899230,844850,32,66,Condo,3
2012,Windsor,3,4,1627,587283,513718,49,2,Townhouse,3
2023,London,5,3,1092,707376,639393,8,69,Condo,0
2011,Kitchener,2,3,1347,971452,910674,65,60,Condo,3
2021,Ottawa,4,3,1232,1121826,1069887,43,78,Condo,3
2010,Guelph,2,2,1313,908705,831571,87,23,Townhouse,1
2016,London,1,4,1632,667554,582437,28,57,Detached,0
2016,Ottawa,2,1,1720,768997,714900,75,35,Detached,0
2021,Kitchener,2,4,909,882457,814273,50,1,Detached,1
2011,Ottawa,2,4,1630,741705,663588,57,48,Detached,1
2016,London,2,3,2758,942366,844159,52,49,Condo,1
2022,Toronto,1,1,2117,653990,561027,13,40,Detached,1
2017,Guelph,5,4,1243,1122656,1041761,26,62,Condo,0
2010,Guelph,3,1,1552,782497,744921,6,15,Condo,1
2018,Toronto,4,2,1486,673777,663164,20,30,Detached,1
2016,Windsor,3,3,1683,918321,851543,9,21,Townhouse,3
2012,London,3,1,1331,604170,537619,16,8,Detached,0
2017,Guelph,4,2,1392,829583,791492,56,7,Detached,1
2016,London,1,2,1207,1080280,1070308,30,34,Condo,3
2020,Kitchener,4,2,1938,556692,457019,19,64,Condo,0
2022,London,1,4,1624,1038275,975508,71,42,Detached,1
2017,Ottawa,3,4,1627,541790,528038,77,53,Detached,1
2015,Toronto,1,3,1987,964095,917905,63,96,Townhouse,3
2018,Windsor,5,3,1993,610672,600983,43,97,Townhouse,2
2014,London,4,2,1917,1038364,967911,67,70,Townhouse,0
2012,Windsor,5,3,1981,684781,579279,29,10,Condo,3
2012,Windsor,3,4,2125,728696,684277,45,90,Townhouse,1
2010,Kitchener,4,3,1113,612311,565086,32,58,Condo,2
2021,Hamilton,3,1,1380,317602,275891,25,90,Condo,2
2017,Toronto,5,4,1783,571531,528263,65,83,Detached,3
2011,Windsor,3,2,1145,463091,436369,61,99,Townhouse,3
2012,Guelph,4,2,1354,391622,300161,15,4,Detached,3
2017,Ottawa,4,3,1577,858787,802937,23,89,Detached,0
2023,Guelph,3,4,1407,1104973,1053072,79,8,Condo,2
2017,Kitchener,4,2,1526,1159470,1116252,5,12,Townhouse,0
2023,Kitchener,4,2,1041,567480,555667,36,88,Detached,2
2020,Guelph,3,4,1484,778016,699865,89,88,Condo,0
2013,Toronto,5,4,1553,1032957,940269,81,81,Detached,3
2013,Guelph,4,2,2146,537680,543524,38,25,Townhouse,1
2014,London,4,3,1392,1040720,969437,21,97,Condo,3
2015,Guelph,4,3,1239,1044009,968136,59,27,Townhouse,0
2014,Ottawa,4,3,1785,410777,322251,23,2,Detached,3
