,Year,Location,Number of Households,Tenure,Housing Characteristics
1295,2022,"Rural areas, Ontario",39400,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
1296,2021,"Rural areas, Ontario",58100,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
1297,2022,"Rural areas, Ontario",52000,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
1298,2021,"Rural areas, Ontario",540000,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1299,2022,"Rural areas, Ontario",520600,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1301,2021,"Rural areas, Ontario",14000,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1302,2022,"Rural areas, Ontario",1700,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1304,2021,"Rural areas, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
1305,2022,"Rural areas, Ontario",3100,Repeat homebuyer,Moved due to a natural disaster or fire
1307,2021,"Rural areas, Ontario",47100,Repeat homebuyer,Moved for a new job or job transfer
1308,2022,"Rural areas, Ontario",42500,Repeat homebuyer,Moved for a new job or job transfer
1310,2021,"Rural areas, Ontario",4400,Repeat homebuyer,Moved for a new school
1311,2022,"Rural areas, Ontario",4400,Repeat homebuyer,Moved for a new school
1313,2021,"Rural areas, Ontario",64900,Repeat homebuyer,Moved to form own household
1314,2022,"Rural areas, Ontario",39300,Repeat homebuyer,Moved to form own household
1316,2021,"Rural areas, Ontario",55300,Repeat homebuyer,Moved to be closer to family
1317,2022,"Rural areas, Ontario",42700,Repeat homebuyer,Moved to be closer to family
1319,2021,"Rural areas, Ontario",87800,Repeat homebuyer,Moved because of a change in household or family size
1320,2022,"Rural areas, Ontario",72900,Repeat homebuyer,Moved because of a change in household or family size
1322,2021,"Rural areas, Ontario",17700,Repeat homebuyer,Moved to reduce commuting time
1323,2022,"Rural areas, Ontario",14400,Repeat homebuyer,Moved to reduce commuting time
1325,2021,"Rural areas, Ontario",179200,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1326,2022,"Rural areas, Ontario",173500,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1328,2021,"Rural areas, Ontario",71500,Repeat homebuyer,Moved to reduce housing costs
1329,2022,"Rural areas, Ontario",45500,Repeat homebuyer,Moved to reduce housing costs
1331,2021,"Rural areas, Ontario",154800,Repeat homebuyer,Moved to be in a more desirable neighbourhood
1332,2022,"Rural areas, Ontario",96500,Repeat homebuyer,Moved to be in a more desirable neighbourhood
1334,2021,"Rural areas, Ontario",8300,Repeat homebuyer,Moved for personal health reasons
1335,2022,"Rural areas, Ontario",23600,Repeat homebuyer,Moved for personal health reasons
1337,2021,"Rural areas, Ontario",113600,Repeat homebuyer,Moved to become a homeowner
1338,2022,"Rural areas, Ontario",102100,Repeat homebuyer,Moved to become a homeowner
1339,2021,"Rural areas, Ontario",1100,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
1340,2022,"Rural areas, Ontario",0,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
1342,2021,"Rural areas, Ontario",3800,Repeat homebuyer,Moved for another reason
1343,2022,"Rural areas, Ontario",103100,Repeat homebuyer,Moved for another reason
1348,2021,"Rural areas, Ontario",59500,Renter,Single-detached house
1349,2022,"Rural areas, Ontario",44400,Renter,Single-detached house
1351,2021,"Rural areas, Ontario",1300,Renter,Semi-detached house
1352,2022,"Rural areas, Ontario",1800,Renter,Semi-detached house
1354,2021,"Rural areas, Ontario",4400,Renter,Row house
1355,2022,"Rural areas, Ontario",4900,Renter,Row house
1357,2021,"Rural areas, Ontario",4800,Renter,Apartment or flat in a duplex
1358,2022,"Rural areas, Ontario",1600,Renter,Apartment or flat in a duplex
1360,2021,"Rural areas, Ontario",0,Renter,Apartment in a building that has five or more storeys
1361,2022,"Rural areas, Ontario",0,Renter,Apartment in a building that has five or more storeys
1363,2021,"Rural areas, Ontario",12400,Renter,Apartment in a building that has fewer than five storeys
1364,2022,"Rural areas, Ontario",13900,Renter,Apartment in a building that has fewer than five storeys
1366,2021,"Rural areas, Ontario",500,Renter,Other single-attached house
1367,2022,"Rural areas, Ontario",0,Renter,Other single-attached house
1369,2021,"Rural areas, Ontario",700,Renter,Movable dwelling
1370,2022,"Rural areas, Ontario",0,Renter,Movable dwelling
1375,2021,"Rural areas, Ontario",600,Renter,Condominium
1376,2022,"Rural areas, Ontario",3100,Renter,Condominium
1378,2021,"Rural areas, Ontario",83100,Renter,Not condominium
1379,2022,"Rural areas, Ontario",63500,Renter,Not condominium
1382,2021,"Rural areas, Ontario",12300,Renter,Dwelling satisfaction rating between 0 and 5
1383,2022,"Rural areas, Ontario",15200,Renter,Dwelling satisfaction rating between 0 and 5
1384,2021,"Rural areas, Ontario",11400,Renter,Dwelling satisfaction rating of 6 or 7
1385,2022,"Rural areas, Ontario",16100,Renter,Dwelling satisfaction rating of 6 or 7
1386,2021,"Rural areas, Ontario",60000,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
1387,2022,"Rural areas, Ontario",35200,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
1390,2021,"Rural areas, Ontario",6700,Renter,Neighbourhood satisfaction rating between 0 and 5
1391,2022,"Rural areas, Ontario",8600,Renter,Neighbourhood satisfaction rating between 0 and 5
1392,2021,"Rural areas, Ontario",8400,Renter,Neighbourhood satisfaction rating of 6 or 7
1393,2022,"Rural areas, Ontario",8000,Renter,Neighbourhood satisfaction rating of 6 or 7
1394,2021,"Rural areas, Ontario",68600,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
1395,2022,"Rural areas, Ontario",50000,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
1397,2021,"Rural areas, Ontario",8100,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1398,2022,"Rural areas, Ontario",9000,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1400,2021,"Rural areas, Ontario",400,Renter,Moved due to a natural disaster or fire
1401,2022,"Rural areas, Ontario",0,Renter,Moved due to a natural disaster or fire
1403,2021,"Rural areas, Ontario",13000,Renter,Moved for a new job or job transfer
1404,2022,"Rural areas, Ontario",2300,Renter,Moved for a new job or job transfer
1406,2021,"Rural areas, Ontario",0,Renter,Moved for a new school
1407,2022,"Rural areas, Ontario",0,Renter,Moved for a new school
1409,2021,"Rural areas, Ontario",8500,Renter,Moved to form own household
1410,2022,"Rural areas, Ontario",6700,Renter,Moved to form own household
1412,2021,"Rural areas, Ontario",10800,Renter,Moved to be closer to family
1413,2022,"Rural areas, Ontario",2400,Renter,Moved to be closer to family
1415,2021,"Rural areas, Ontario",18800,Renter,Moved because of a change in household or family size
1416,2022,"Rural areas, Ontario",11100,Renter,Moved because of a change in household or family size
1418,2021,"Rural areas, Ontario",10100,Renter,Moved to reduce commuting time
1419,2022,"Rural areas, Ontario",3200,Renter,Moved to reduce commuting time
1421,2021,"Rural areas, Ontario",17800,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
1422,2022,"Rural areas, Ontario",6900,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
1424,2021,"Rural areas, Ontario",10600,Renter,Moved to reduce housing costs
1425,2022,"Rural areas, Ontario",8200,Renter,Moved to reduce housing costs
1427,2021,"Rural areas, Ontario",10500,Renter,Moved to be in a more desirable neighbourhood
1428,2022,"Rural areas, Ontario",3400,Renter,Moved to be in a more desirable neighbourhood
1430,2021,"Rural areas, Ontario",7900,Renter,Moved for personal health reasons
1431,2022,"Rural areas, Ontario",4400,Renter,Moved for personal health reasons
1433,2021,"Rural areas, Ontario",1100,Renter,Moved to become a homeowner
1434,2022,"Rural areas, Ontario",900,Renter,Moved to become a homeowner
1435,2021,"Rural areas, Ontario",2700,Renter,Moved due to issues with previous landlord or other tenants
1436,2022,"Rural areas, Ontario",800,Renter,Moved due to issues with previous landlord or other tenants
1438,2021,"Rural areas, Ontario",100,Renter,Moved for another reason
1439,2022,"Rural areas, Ontario",14200,Renter,Moved for another reason
1444,2021,"Ottawa-Gatineau, Ontario/Quebec",20300,First-time homebuyer,Single-detached house
1445,2022,"Ottawa-Gatineau, Ontario/Quebec",30600,First-time homebuyer,Single-detached house
1447,2021,"Ottawa-Gatineau, Ontario/Quebec",3800,First-time homebuyer,Semi-detached house
1448,2022,"Ottawa-Gatineau, Ontario/Quebec",5800,First-time homebuyer,Semi-detached house
1450,2021,"Ottawa-Gatineau, Ontario/Quebec",20500,First-time homebuyer,Row house
1451,2022,"Ottawa-Gatineau, Ontario/Quebec",18100,First-time homebuyer,Row house
1453,2021,"Ottawa-Gatineau, Ontario/Quebec",2500,First-time homebuyer,Apartment or flat in a duplex
1454,2022,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Apartment or flat in a duplex
1456,2021,"Ottawa-Gatineau, Ontario/Quebec",6000,First-time homebuyer,Apartment in a building that has five or more storeys
1457,2022,"Ottawa-Gatineau, Ontario/Quebec",3700,First-time homebuyer,Apartment in a building that has five or more storeys
1459,2021,"Ottawa-Gatineau, Ontario/Quebec",2100,First-time homebuyer,Apartment in a building that has fewer than five storeys
1460,2022,"Ottawa-Gatineau, Ontario/Quebec",4400,First-time homebuyer,Apartment in a building that has fewer than five storeys
1462,2021,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Other single-attached house
1463,2022,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Other single-attached house
1465,2021,"Ottawa-Gatineau, Ontario/Quebec",1700,First-time homebuyer,Movable dwelling
1466,2022,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Movable dwelling
1471,2021,"Ottawa-Gatineau, Ontario/Quebec",13000,First-time homebuyer,Condominium
1472,2022,"Ottawa-Gatineau, Ontario/Quebec",13200,First-time homebuyer,Condominium
1474,2021,"Ottawa-Gatineau, Ontario/Quebec",44000,First-time homebuyer,Not condominium
1475,2022,"Ottawa-Gatineau, Ontario/Quebec",49400,First-time homebuyer,Not condominium
1478,2021,"Ottawa-Gatineau, Ontario/Quebec",4700,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
1479,2022,"Ottawa-Gatineau, Ontario/Quebec",900,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
1480,2021,"Ottawa-Gatineau, Ontario/Quebec",10800,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
1481,2022,"Ottawa-Gatineau, Ontario/Quebec",6500,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
1482,2021,"Ottawa-Gatineau, Ontario/Quebec",41400,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
1483,2022,"Ottawa-Gatineau, Ontario/Quebec",55200,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
1486,2021,"Ottawa-Gatineau, Ontario/Quebec",4500,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
1487,2022,"Ottawa-Gatineau, Ontario/Quebec",1900,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
1488,2021,"Ottawa-Gatineau, Ontario/Quebec",8300,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
1489,2022,"Ottawa-Gatineau, Ontario/Quebec",14200,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
1490,2021,"Ottawa-Gatineau, Ontario/Quebec",44000,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1491,2022,"Ottawa-Gatineau, Ontario/Quebec",46600,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1493,2021,"Ottawa-Gatineau, Ontario/Quebec",3400,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1494,2022,"Ottawa-Gatineau, Ontario/Quebec",5600,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1496,2021,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Moved due to a natural disaster or fire
1497,2022,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Moved due to a natural disaster or fire
1499,2021,"Ottawa-Gatineau, Ontario/Quebec",4500,First-time homebuyer,Moved for a new job or job transfer
1500,2022,"Ottawa-Gatineau, Ontario/Quebec",3600,First-time homebuyer,Moved for a new job or job transfer
1502,2021,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Moved for a new school
1503,2022,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Moved for a new school
1505,2021,"Ottawa-Gatineau, Ontario/Quebec",14500,First-time homebuyer,Moved to form own household
1506,2022,"Ottawa-Gatineau, Ontario/Quebec",12600,First-time homebuyer,Moved to form own household
1508,2021,"Ottawa-Gatineau, Ontario/Quebec",1300,First-time homebuyer,Moved to be closer to family
1509,2022,"Ottawa-Gatineau, Ontario/Quebec",1800,First-time homebuyer,Moved to be closer to family
1511,2021,"Ottawa-Gatineau, Ontario/Quebec",4500,First-time homebuyer,Moved because of a change in household or family size
1512,2022,"Ottawa-Gatineau, Ontario/Quebec",4800,First-time homebuyer,Moved because of a change in household or family size
1514,2021,"Ottawa-Gatineau, Ontario/Quebec",3500,First-time homebuyer,Moved to reduce commuting time
1515,2022,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Moved to reduce commuting time
1517,2021,"Ottawa-Gatineau, Ontario/Quebec",20900,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1518,2022,"Ottawa-Gatineau, Ontario/Quebec",12900,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1520,2021,"Ottawa-Gatineau, Ontario/Quebec",1000,First-time homebuyer,Moved to reduce housing costs
1521,2022,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Moved to reduce housing costs
1523,2021,"Ottawa-Gatineau, Ontario/Quebec",10500,First-time homebuyer,Moved to be in a more desirable neighbourhood
1524,2022,"Ottawa-Gatineau, Ontario/Quebec",3900,First-time homebuyer,Moved to be in a more desirable neighbourhood
1526,2021,"Ottawa-Gatineau, Ontario/Quebec",1000,First-time homebuyer,Moved for personal health reasons
1527,2022,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Moved for personal health reasons
1529,2021,"Ottawa-Gatineau, Ontario/Quebec",40300,First-time homebuyer,Moved to become a homeowner
1530,2022,"Ottawa-Gatineau, Ontario/Quebec",47300,First-time homebuyer,Moved to become a homeowner
1531,2021,"Ottawa-Gatineau, Ontario/Quebec",2900,First-time homebuyer,Moved due to issues with previous landlord or other tenants
1532,2022,"Ottawa-Gatineau, Ontario/Quebec",600,First-time homebuyer,Moved due to issues with previous landlord or other tenants
1534,2021,"Ottawa-Gatineau, Ontario/Quebec",0,First-time homebuyer,Moved for another reason
1535,2022,"Ottawa-Gatineau, Ontario/Quebec",4000,First-time homebuyer,Moved for another reason
1540,2021,"Ottawa-Gatineau, Ontario/Quebec",237300,Repeat homebuyer,Single-detached house
1541,2022,"Ottawa-Gatineau, Ontario/Quebec",200900,Repeat homebuyer,Single-detached house
1543,2021,"Ottawa-Gatineau, Ontario/Quebec",27500,Repeat homebuyer,Semi-detached house
1544,2022,"Ottawa-Gatineau, Ontario/Quebec",24600,Repeat homebuyer,Semi-detached house
1546,2021,"Ottawa-Gatineau, Ontario/Quebec",54800,Repeat homebuyer,Row house
1547,2022,"Ottawa-Gatineau, Ontario/Quebec",47700,Repeat homebuyer,Row house
1549,2021,"Ottawa-Gatineau, Ontario/Quebec",3500,Repeat homebuyer,Apartment or flat in a duplex
1550,2022,"Ottawa-Gatineau, Ontario/Quebec",4900,Repeat homebuyer,Apartment or flat in a duplex
1552,2021,"Ottawa-Gatineau, Ontario/Quebec",10800,Repeat homebuyer,Apartment in a building that has five or more storeys
1553,2022,"Ottawa-Gatineau, Ontario/Quebec",13900,Repeat homebuyer,Apartment in a building that has five or more storeys
1555,2021,"Ottawa-Gatineau, Ontario/Quebec",14600,Repeat homebuyer,Apartment in a building that has fewer than five storeys
1556,2022,"Ottawa-Gatineau, Ontario/Quebec",10000,Repeat homebuyer,Apartment in a building that has fewer than five storeys
1558,2021,"Ottawa-Gatineau, Ontario/Quebec",200,Repeat homebuyer,Other single-attached house
1559,2022,"Ottawa-Gatineau, Ontario/Quebec",1500,Repeat homebuyer,Other single-attached house
1561,2021,"Ottawa-Gatineau, Ontario/Quebec",800,Repeat homebuyer,Movable dwelling
1562,2022,"Ottawa-Gatineau, Ontario/Quebec",1500,Repeat homebuyer,Movable dwelling
1567,2021,"Ottawa-Gatineau, Ontario/Quebec",40100,Repeat homebuyer,Condominium
1568,2022,"Ottawa-Gatineau, Ontario/Quebec",36800,Repeat homebuyer,Condominium
1570,2021,"Ottawa-Gatineau, Ontario/Quebec",309400,Repeat homebuyer,Not condominium
1571,2022,"Ottawa-Gatineau, Ontario/Quebec",268300,Repeat homebuyer,Not condominium
1574,2021,"Ottawa-Gatineau, Ontario/Quebec",27400,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
1575,2022,"Ottawa-Gatineau, Ontario/Quebec",20700,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
1576,2021,"Ottawa-Gatineau, Ontario/Quebec",44300,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
1577,2022,"Ottawa-Gatineau, Ontario/Quebec",53700,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
1578,2021,"Ottawa-Gatineau, Ontario/Quebec",277800,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
1579,2022,"Ottawa-Gatineau, Ontario/Quebec",230800,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
1582,2021,"Ottawa-Gatineau, Ontario/Quebec",31300,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
1583,2022,"Ottawa-Gatineau, Ontario/Quebec",26400,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
1584,2021,"Ottawa-Gatineau, Ontario/Quebec",32200,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
1585,2022,"Ottawa-Gatineau, Ontario/Quebec",32600,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
1586,2021,"Ottawa-Gatineau, Ontario/Quebec",286000,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1587,2022,"Ottawa-Gatineau, Ontario/Quebec",246100,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1589,2021,"Ottawa-Gatineau, Ontario/Quebec",5300,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1590,2022,"Ottawa-Gatineau, Ontario/Quebec",2100,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1592,2021,"Ottawa-Gatineau, Ontario/Quebec",600,Repeat homebuyer,Moved due to a natural disaster or fire
1593,2022,"Ottawa-Gatineau, Ontario/Quebec",1100,Repeat homebuyer,Moved due to a natural disaster or fire
1595,2021,"Ottawa-Gatineau, Ontario/Quebec",28100,Repeat homebuyer,Moved for a new job or job transfer
1596,2022,"Ottawa-Gatineau, Ontario/Quebec",15900,Repeat homebuyer,Moved for a new job or job transfer
1598,2021,"Ottawa-Gatineau, Ontario/Quebec",5400,Repeat homebuyer,Moved for a new school
1599,2022,"Ottawa-Gatineau, Ontario/Quebec",5000,Repeat homebuyer,Moved for a new school
1601,2021,"Ottawa-Gatineau, Ontario/Quebec",26900,Repeat homebuyer,Moved to form own household
1602,2022,"Ottawa-Gatineau, Ontario/Quebec",37100,Repeat homebuyer,Moved to form own household
1604,2021,"Ottawa-Gatineau, Ontario/Quebec",24400,Repeat homebuyer,Moved to be closer to family
1605,2022,"Ottawa-Gatineau, Ontario/Quebec",29500,Repeat homebuyer,Moved to be closer to family
1607,2021,"Ottawa-Gatineau, Ontario/Quebec",66000,Repeat homebuyer,Moved because of a change in household or family size
1608,2022,"Ottawa-Gatineau, Ontario/Quebec",48400,Repeat homebuyer,Moved because of a change in household or family size
1610,2021,"Ottawa-Gatineau, Ontario/Quebec",22700,Repeat homebuyer,Moved to reduce commuting time
1611,2022,"Ottawa-Gatineau, Ontario/Quebec",12500,Repeat homebuyer,Moved to reduce commuting time
1613,2021,"Ottawa-Gatineau, Ontario/Quebec",131700,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1614,2022,"Ottawa-Gatineau, Ontario/Quebec",97200,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1616,2021,"Ottawa-Gatineau, Ontario/Quebec",24700,Repeat homebuyer,Moved to reduce housing costs
1617,2022,"Ottawa-Gatineau, Ontario/Quebec",15000,Repeat homebuyer,Moved to reduce housing costs
1619,2021,"Ottawa-Gatineau, Ontario/Quebec",61500,Repeat homebuyer,Moved to be in a more desirable neighbourhood
1620,2022,"Ottawa-Gatineau, Ontario/Quebec",44900,Repeat homebuyer,Moved to be in a more desirable neighbourhood
1622,2021,"Ottawa-Gatineau, Ontario/Quebec",9900,Repeat homebuyer,Moved for personal health reasons
1623,2022,"Ottawa-Gatineau, Ontario/Quebec",14200,Repeat homebuyer,Moved for personal health reasons
1625,2021,"Ottawa-Gatineau, Ontario/Quebec",101700,Repeat homebuyer,Moved to become a homeowner
1626,2022,"Ottawa-Gatineau, Ontario/Quebec",96200,Repeat homebuyer,Moved to become a homeowner
1627,2021,"Ottawa-Gatineau, Ontario/Quebec",6800,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
1628,2022,"Ottawa-Gatineau, Ontario/Quebec",2700,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
1630,2021,"Ottawa-Gatineau, Ontario/Quebec",2200,Repeat homebuyer,Moved for another reason
1631,2022,"Ottawa-Gatineau, Ontario/Quebec",24500,Repeat homebuyer,Moved for another reason
1636,2021,"Ottawa-Gatineau, Ontario/Quebec",18100,Renter,Single-detached house
1637,2022,"Ottawa-Gatineau, Ontario/Quebec",17600,Renter,Single-detached house
1639,2021,"Ottawa-Gatineau, Ontario/Quebec",8500,Renter,Semi-detached house
1640,2022,"Ottawa-Gatineau, Ontario/Quebec",4800,Renter,Semi-detached house
1642,2021,"Ottawa-Gatineau, Ontario/Quebec",39900,Renter,Row house
1643,2022,"Ottawa-Gatineau, Ontario/Quebec",39600,Renter,Row house
1645,2021,"Ottawa-Gatineau, Ontario/Quebec",10100,Renter,Apartment or flat in a duplex
1646,2022,"Ottawa-Gatineau, Ontario/Quebec",10400,Renter,Apartment or flat in a duplex
1648,2021,"Ottawa-Gatineau, Ontario/Quebec",64700,Renter,Apartment in a building that has five or more storeys
1649,2022,"Ottawa-Gatineau, Ontario/Quebec",74000,Renter,Apartment in a building that has five or more storeys
1651,2021,"Ottawa-Gatineau, Ontario/Quebec",63400,Renter,Apartment in a building that has fewer than five storeys
1652,2022,"Ottawa-Gatineau, Ontario/Quebec",74700,Renter,Apartment in a building that has fewer than five storeys
1654,2021,"Ottawa-Gatineau, Ontario/Quebec",2600,Renter,Other single-attached house
1655,2022,"Ottawa-Gatineau, Ontario/Quebec",0,Renter,Other single-attached house
1657,2021,"Ottawa-Gatineau, Ontario/Quebec",1000,Renter,Movable dwelling
1658,2022,"Ottawa-Gatineau, Ontario/Quebec",600,Renter,Movable dwelling
1663,2021,"Ottawa-Gatineau, Ontario/Quebec",32500,Renter,Condominium
1664,2022,"Ottawa-Gatineau, Ontario/Quebec",40000,Renter,Condominium
1666,2021,"Ottawa-Gatineau, Ontario/Quebec",175900,Renter,Not condominium
1667,2022,"Ottawa-Gatineau, Ontario/Quebec",181700,Renter,Not condominium
1670,2021,"Ottawa-Gatineau, Ontario/Quebec",45400,Renter,Dwelling satisfaction rating between 0 and 5
1671,2022,"Ottawa-Gatineau, Ontario/Quebec",56300,Renter,Dwelling satisfaction rating between 0 and 5
1672,2021,"Ottawa-Gatineau, Ontario/Quebec",57900,Renter,Dwelling satisfaction rating of 6 or 7
1673,2022,"Ottawa-Gatineau, Ontario/Quebec",63600,Renter,Dwelling satisfaction rating of 6 or 7
1674,2021,"Ottawa-Gatineau, Ontario/Quebec",105200,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
1675,2022,"Ottawa-Gatineau, Ontario/Quebec",101700,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
1678,2021,"Ottawa-Gatineau, Ontario/Quebec",36000,Renter,Neighbourhood satisfaction rating between 0 and 5
1679,2022,"Ottawa-Gatineau, Ontario/Quebec",42100,Renter,Neighbourhood satisfaction rating between 0 and 5
1680,2021,"Ottawa-Gatineau, Ontario/Quebec",41700,Renter,Neighbourhood satisfaction rating of 6 or 7
1681,2022,"Ottawa-Gatineau, Ontario/Quebec",57700,Renter,Neighbourhood satisfaction rating of 6 or 7
1682,2021,"Ottawa-Gatineau, Ontario/Quebec",130700,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
1683,2022,"Ottawa-Gatineau, Ontario/Quebec",121800,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
1685,2021,"Ottawa-Gatineau, Ontario/Quebec",19000,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1686,2022,"Ottawa-Gatineau, Ontario/Quebec",19100,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1688,2021,"Ottawa-Gatineau, Ontario/Quebec",1400,Renter,Moved due to a natural disaster or fire
1689,2022,"Ottawa-Gatineau, Ontario/Quebec",2400,Renter,Moved due to a natural disaster or fire
1691,2021,"Ottawa-Gatineau, Ontario/Quebec",21200,Renter,Moved for a new job or job transfer
1692,2022,"Ottawa-Gatineau, Ontario/Quebec",29100,Renter,Moved for a new job or job transfer
1694,2021,"Ottawa-Gatineau, Ontario/Quebec",15300,Renter,Moved for a new school
1695,2022,"Ottawa-Gatineau, Ontario/Quebec",16200,Renter,Moved for a new school
1697,2021,"Ottawa-Gatineau, Ontario/Quebec",23900,Renter,Moved to form own household
1698,2022,"Ottawa-Gatineau, Ontario/Quebec",20000,Renter,Moved to form own household
1700,2021,"Ottawa-Gatineau, Ontario/Quebec",20100,Renter,Moved to be closer to family
1701,2022,"Ottawa-Gatineau, Ontario/Quebec",18400,Renter,Moved to be closer to family
1703,2021,"Ottawa-Gatineau, Ontario/Quebec",32000,Renter,Moved because of a change in household or family size
1704,2022,"Ottawa-Gatineau, Ontario/Quebec",21400,Renter,Moved because of a change in household or family size
1706,2021,"Ottawa-Gatineau, Ontario/Quebec",21100,Renter,Moved to reduce commuting time
1707,2022,"Ottawa-Gatineau, Ontario/Quebec",12700,Renter,Moved to reduce commuting time
1709,2021,"Ottawa-Gatineau, Ontario/Quebec",48000,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
1710,2022,"Ottawa-Gatineau, Ontario/Quebec",35300,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
1712,2021,"Ottawa-Gatineau, Ontario/Quebec",24900,Renter,Moved to reduce housing costs
1713,2022,"Ottawa-Gatineau, Ontario/Quebec",18200,Renter,Moved to reduce housing costs
1715,2021,"Ottawa-Gatineau, Ontario/Quebec",33500,Renter,Moved to be in a more desirable neighbourhood
1716,2022,"Ottawa-Gatineau, Ontario/Quebec",22000,Renter,Moved to be in a more desirable neighbourhood
1718,2021,"Ottawa-Gatineau, Ontario/Quebec",12700,Renter,Moved for personal health reasons
1719,2022,"Ottawa-Gatineau, Ontario/Quebec",11900,Renter,Moved for personal health reasons
1721,2021,"Ottawa-Gatineau, Ontario/Quebec",1500,Renter,Moved to become a homeowner
1722,2022,"Ottawa-Gatineau, Ontario/Quebec",300,Renter,Moved to become a homeowner
1723,2021,"Ottawa-Gatineau, Ontario/Quebec",14700,Renter,Moved due to issues with previous landlord or other tenants
